nimbis_risk_id,section,description,sum_insured,premium_excl,match_status,zoho_risk_id,zoho_risk_name,portal_risk_id,action
62530,Electronic Equipment,Netlogix IN129799 x1 Mercer desktop PC,9392,27.223188,manual,7351644000001857133,7012300 Netlogix IN129799 x1 Mercer desktop PC,,review
62531,Electronic Equipment,Netlogix IN129799 x1 Mercer desktop PC,7102,20.585507,manual,7351644000001857134,7012300 Netlogix IN129799 x1 Mercer desktop PC,,review
62533,Electronic Equipment,Netlogix IN128855 x10 Mercer Monitors,11754,34.069565,ref,7351644000001857135,1320311 Netlogix IN128855 x10 Mercer Monitors,,review
62534,Electronic Equipment,Strategix SIT-INV112722 x82 Veeam backup,15416,44.684058,exact,7351644000001857136,Strategix SIT-INV112722 x82 Veeam backup,,link
62535,Electronic Equipment,Strategix SIT-INV112722 x18 Fileshare li,2700,7.826087,exact,7351644000001857137,Strategix SIT-INV112722 x18 Fileshare li,,link
62536,Electronic Equipment,Netlogix IN129646 x5 Mercer 19.5  Monito,5822,16.875362,normalized,7351644000001857138,Netlogix IN129646 x5 Mercer 19.5 Monito,,link
62537,Electronic Equipment,Netlogix IN129648 x4 Mercer 19.5' Monito,4658,13.501449,exact,7351644000001857139,Netlogix IN129648 x4 Mercer 19.5' Monito,,link
62538,Electronic Equipment,Netlogix IN129794 x1 SSD Drive/Adaptor/U,2398.04,6.950841,exact,7351644000001857140,Netlogix IN129794 x1 SSD Drive/Adaptor/U,,link
62539,Electronic Equipment,Netlogix IN129693 x2 Hand scanners,4743.32,13.748754,exact,7351644000001857141,Netlogix IN129693 x2 Hand scanners,,link
62540,Electronic Equipment,Netlogix IN129694 x1 Zebra Thermal print,6016.91,17.440319,exact,7351644000001857142,Netlogix IN129694 x1 Zebra Thermal print,,link
62541,Electronic Equipment,Netlogix IN129695 x5 Barcode scanners,6041.75,17.512319,exact,7351644000001857143,Netlogix IN129695 x5 Barcode scanners,,link
62542,Electronic Equipment,Netlogix IN129715 x10 Keyboard combo's,1955.3,5.667536,exact,7351644000001857144,Netlogix IN129715 x10 Keyboard combo's,,link
62543,Electronic Equipment,Netlogix IN129716 x5 SSD drives,4476.4,12.975072,exact,7351644000001857145,Netlogix IN129716 x5 SSD drives,,link
62544,Electronic Equipment,Netlogix IN129661 x2 HPE 600GB SAS HDD,8525.78,24.712406,exact,7351644000001857146,Netlogix IN129661 x2 HPE 600GB SAS HDD,,link
64687,Electronic Equipment,P3155DN Printers x 32 (R19000.00 each),608000,1531.455072,exact,7351644000001857147,P3155DN Printers x 32 (R19000.00 each),,link
